	celltype1	manual_annotation	leiden_v1_r0.5	leiden_v2_r0.7
zcchc7	midbrain_hindbrain_boundary	unassigned	0	0
zgc:158291	enteric_neurons	unassigned	2	6
col5a2a	somites	unassigned	4	3
slc14a2	hemangioblasts	unassigned	6	7
exoc6	optic_cup	unassigned	0	0
astn1	pronephros	unassigned	0	0
chrnd	muscle	unassigned	4	3
pkp4	muscle	unassigned	0	2
tgfbr2b	hematopoietic_vasculature	unassigned	3	5
mctp2b	hatching_gland	unassigned	5	4
s1pr2	lateral_plate_mesoderm	unassigned	0	0
fras1	neural_telencephalon	unassigned	0	0
cldn7b	epidermis	unassigned	0	4
ikzf1	hematopoietic_vasculature	unassigned	6	7
bcl11ab	neural_optic	unassigned	1	1
rasal2	hindbrain	unassigned	0	0
svilc	muscle	unassigned	4	3
gfap	neural_posterior	unassigned	1	1
pvalb1	enteric_neurons	unassigned	2	8
tfdp2	differentiating_neurons	unassigned	1	1
DAB2	hemangioblasts	unassigned	3	5
scube2	neural_posterior	unassigned	1	1
kif26ab	NMPs	unassigned	0	2
nphs1	hatching_gland	unassigned	0	0
coro1a	epidermis	unassigned	2	8
si:ch211-286o17.1	neural_posterior	unassigned	1	1
si:dkey-117m1.4	endocrine_pancreas	unassigned	0	0
efl1	optic_cup	unassigned	0	0
pimr117	enteric_neurons	left_bottom	9	12
tmem14ca	hemangioblasts	unassigned	2	8
malb	hatching_gland	unassigned	5	4
hnf4g	endoderm	unassigned	3	10
bcr	differentiating_neurons	unassigned	0	0
matn4	pronephros	unassigned	2	8
smkr1	spinal_cord	unassigned	1	1
tle3b	neural_optic	unassigned	0	0
ntn1b	floor_plate	unassigned	1	1
megf11	somites	unassigned	2	6
klhl4	hematopoietic_vasculature	unassigned	6	7
tnnt3a	fast_muscle	unassigned	2	8
sema5bb	notochord	unassigned	3	5
onecut3b	enteric_neurons	unassigned	2	6
adra1ba	notochord	unassigned	3	5
ntn2	notochord	unassigned	7	9
MYORG	midbrain_hindbrain_boundary	unassigned	5	4
tcf7l1a	notochord	unassigned	0	0
zfpm2a	heart_myocardium	unassigned	0	0
fgf20a	notochord	unassigned	7	9
ved	tail_bud	unassigned	8	10
fgfrl1b	endocrine_pancreas	unassigned	3	5
tpma	muscle	unassigned	4	3
cacnb4b	differentiating_neurons	unassigned	2	6
foxo1a	hatching_gland	unassigned	5	4
sypa	differentiating_neurons	unassigned	2	6
rap1gap2a	enteric_neurons	unassigned	6	7
cerkl	enteric_neurons	unassigned	0	0
il17rd	NMPs	unassigned	0	2
unc5da	notochord	unassigned	7	9
samd10a	notochord	unassigned	7	9
dbn1	differentiating_neurons	unassigned	0	0
arhgef10la	neurons	unassigned	1	1
anos1b	lateral_plate_mesoderm	unassigned	7	9
shha	neural_telencephalon	unassigned	7	9
si:dkey-22o22.2	lateral_plate_mesoderm	unassigned	7	9
FRMD4A	hematopoietic_vasculature	unassigned	0	0
rcn3	notochord	unassigned	3	5
tet3	neural_telencephalon	unassigned	1	1
camta1a	differentiating_neurons	unassigned	2	6
sytl5	hatching_gland	unassigned	5	4
si:dkey-193c22.1	hatching_gland	unassigned	5	4
LO017711.1	neural_floor_plate	unassigned	5	4
ttc7a	notochord	unassigned	5	4
lhx2b	neural_telencephalon	unassigned	1	1
inhbaa	hatching_gland	unassigned	5	4
plxna3	hatching_gland	unassigned	0	0
cacna1bb	differentiating_neurons	unassigned	2	6
lrig1	notochord	unassigned	0	0
st6gal2b	hatching_gland	unassigned	5	4
CABZ01048053.1	muscle	unassigned	4	3
crb1	floor_plate	unassigned	1	1
pkdcca	heart_myocardium	unassigned	1	1
smyhc3	muscle	unassigned	4	3
si:dkey-234i14.14	neural_crest	unassigned	3	10
tbc1d30	hatching_gland	unassigned	5	4
nav2b	endocrine_pancreas	unassigned	0	0
hbae1.1	hemangioblasts	unassigned	6	7
si:rp71-79p20.2	hatching_gland	unassigned	5	4
si:dkey-21o19.2	hatching_gland	unassigned	5	4
ptpn11b	neural_crest	unassigned	6	7
sema3gb	neurons	unassigned	1	1
lipg	notochord	unassigned	1	1
sema3b	epidermis	unassigned	0	0
cebpa	hemangioblasts	unassigned	6	7
aplp1	hatching_gland	unassigned	5	4
sytl2b	hatching_gland	unassigned	5	4
dnd1	pronephros	left_bottom	9	12
hoxb3a	spinal_cord	unassigned	0	2
hhipl2	tail_bud	unassigned	7	9
tnnc2	muscle	unassigned	4	3
ebf1b	enteric_neurons	unassigned	2	6
axin2	midbrain_hindbrain_boundary	unassigned	0	0
fmnl3	pharyngeal_arches	unassigned	0	0
ush2a	differentiating_neurons	unassigned	0	0
epha2b	pharyngeal_arches	unassigned	0	2
col1a1b	somites	unassigned	2	8
si:ch211-27e6.1	notochord	unassigned	7	9
kank2	lateral_plate_mesoderm	unassigned	3	5
pcdh1g1	differentiating_neurons	unassigned	2	6
ttn.2	muscle	unassigned	4	3
si:dkey-83f18.15	heart_myocardium	unassigned	3	5
slc2a1a	differentiating_neurons	unassigned	3	5
oclnb	hatching_gland	unassigned	5	4
si:dkey-1c11.1	enteric_neurons	unassigned	3	5
cped1	muscle	unassigned	4	3
sorl1	hatching_gland	unassigned	0	0
szl	tail_bud	unassigned	8	10
zgc:158403	hatching_gland	unassigned	5	4
mpp5a	heart_myocardium	unassigned	0	0
cfd	pronephros	unassigned	1	1
zmp:0000000760	notochord	unassigned	7	9
rasip1	hematopoietic_vasculature	unassigned	6	7
gng3	differentiating_neurons	unassigned	2	6
efna3b	lateral_plate_mesoderm	unassigned	0	0
camta1b	hematopoietic_vasculature	unassigned	2	6
espnlb	enteric_neurons	unassigned	2	6
traf4a	enteric_neurons	unassigned	0	0
arhgef4	heart_myocardium	unassigned	3	5
pappab	neural_telencephalon	unassigned	1	1
nfia	neural_telencephalon	unassigned	0	0
CU468896.1	hatching_gland	unassigned	5	4
mef2d	muscle	unassigned	4	3
tmem108	heart_myocardium	unassigned	1	1
hspa12b	hematopoietic_vasculature	unassigned	6	7
hs6st1a	optic_cup	unassigned	1	1
fn1b	tail_bud	unassigned	8	2
atxn1a	hatching_gland	unassigned	0	0
arhgef10	notochord	unassigned	0	0
ins	hematopoietic_vasculature	unassigned	2	8
arid3c	PSM	unassigned	0	2
adarb1b	differentiating_neurons	unassigned	0	0
onecut1	differentiating_neurons	unassigned	2	6
syne1a	lateral_plate_mesoderm	unassigned	0	0
CU695215.3	muscle	unassigned	5	4
gata5	heart_myocardium	unassigned	3	5
cadpsa	neural_optic	unassigned	2	6
dlgap1b	muscle	unassigned	0	2
cyth1b	hatching_gland	unassigned	0	0
dscama	lateral_plate_mesoderm	unassigned	2	6
XKR4	PSM	unassigned	0	2
nxn	neurons	unassigned	0	0
palld	muscle	unassigned	0	2
col28a2a	spinal_cord	unassigned	1	1
agap3	neurons	unassigned	0	0
kcnd3	differentiating_neurons	unassigned	2	6
robo3	differentiating_neurons	unassigned	0	0
slit3	notochord	unassigned	3	5
yrk	hematopoietic_vasculature	unassigned	6	7
ctdspla	pharyngeal_arches	unassigned	0	0
kita	hatching_gland	unassigned	5	4
slc6a8	muscle	unassigned	4	3
fbrsl1	neural_telencephalon	unassigned	1	1
her1	PSM	unassigned	8	2
si:dkey-111i23.1	pharyngeal_arches	unassigned	0	2
tspan9a	muscle	unassigned	4	3
cox6b1	neurons	unassigned	2	8
adcy7	spinal_cord	unassigned	0	2
zeb2a	hindbrain	unassigned	0	0
arid5b	hatching_gland	unassigned	1	1
lmx1al	hematopoietic_vasculature	unassigned	3	5
cep112	neurons	unassigned	0	0
mtss1lb	notochord	unassigned	7	9
slc30a8	hatching_gland	unassigned	5	4
col7a1l	neurons	unassigned	0	0
abcb10	hemangioblasts	unassigned	6	7
rab38c	notochord	unassigned	7	9
hmga2	pharyngeal_arches	unassigned	3	5
ldlrad4a	hatching_gland	unassigned	0	0
myo1cb	muscle	unassigned	4	3
dnase1l1l	hematopoietic_vasculature	unassigned	6	7
drl	hemangioblasts	unassigned	6	7
nxph3	neural_posterior	unassigned	1	1
lmx1bb	midbrain_hindbrain_boundary	unassigned	1	1
smyd2b	muscle	unassigned	4	3
nfatc3a	hatching_gland	unassigned	0	0
gata2a	hemangioblasts	unassigned	0	0
klf1	hemangioblasts	unassigned	6	7
gpc3	midbrain_hindbrain_boundary	unassigned	1	1
gpr85	differentiating_neurons	unassigned	2	6
mpp7a	hindbrain	unassigned	1	1
ptmab	spinal_cord	unassigned	0	11
ihhb	notochord	unassigned	7	9
cep170aa	neural_crest	unassigned	0	0
ralgps2	somites	unassigned	0	0
nlgn3a	differentiating_neurons	unassigned	1	1
pkd1b	spinal_cord	unassigned	1	1
rgma	notochord	unassigned	0	2
ppp2r2bb	enteric_neurons	unassigned	2	6
filip1a	spinal_cord	unassigned	4	3
nol4lb	differentiating_neurons	unassigned	3	10
rnf165a	fast_muscle	unassigned	0	0
caska	notochord	unassigned	0	2
BX663503.3	notochord	unassigned	7	9
tjp1b	heart_myocardium	unassigned	0	0
wnt1	midbrain_hindbrain_boundary	unassigned	1	1
ihha	endocrine_pancreas	unassigned	3	10
gp9	hemangioblasts	unassigned	6	7
prrx1b	lateral_plate_mesoderm	unassigned	7	8
epha7	neural_telencephalon	unassigned	1	1
rhd	hemangioblasts	unassigned	6	7
cxl34b.11	hatching_gland	unassigned	5	4
tnikb	epidermis	unassigned	0	0
thbs2a	NMPs	unassigned	0	2
si:ch1073-220m6.1	neural_telencephalon	right_bottom	3	10
rap1gap	muscle	unassigned	4	3
sulf2a	neural_posterior	unassigned	1	1
vgll2a	muscle	unassigned	4	3
tnc	muscle	unassigned	2	1
srrm4	enteric_neurons	unassigned	2	6
inavaa	hindbrain	unassigned	1	1
hgfb	pharyngeal_arches	unassigned	3	5
CR356242.1	differentiating_neurons	unassigned	1	1
pcdh19	epidermis	unassigned	0	0
nova2	differentiating_neurons	unassigned	1	1
ceacam1	hatching_gland	unassigned	3	5
rras2	muscle	unassigned	0	2
tns1b	notochord	unassigned	1	1
greb1l	differentiating_neurons	unassigned	0	0
ppfibp2b	muscle	unassigned	4	3
phldb2a	pharyngeal_arches	unassigned	3	5
furina	hatching_gland	unassigned	0	0
sytl1	hatching_gland	unassigned	5	4
arhgap31	hematopoietic_vasculature	unassigned	6	7
smyhc2	muscle	unassigned	4	3
cadpsb	enteric_neurons	unassigned	2	6
hdac4	heart_myocardium	unassigned	0	0
aimp1b	muscle	unassigned	4	3
six1b	pharyngeal_arches	unassigned	0	0
cdk6	hindbrain	unassigned	1	1
cldnb	hatching_gland	unassigned	5	4
rbpms2b	pronephros	unassigned	3	5
rell2	hemangioblasts	unassigned	6	7
zgc:174153	hatching_gland	unassigned	5	4
brf1a	hatching_gland	unassigned	0	0
hspb1	fast_muscle	unassigned	8	10
pde4cb	hatching_gland	unassigned	0	2
pcdh11.1	hatching_gland	unassigned	1	1
hdac9b	muscle	unassigned	4	3
rnd3a	fast_muscle	unassigned	0	0
vax2	optic_cup	unassigned	1	1
fmn1	hatching_gland	unassigned	5	4
wt1a	heart_myocardium	unassigned	3	5
mcf2l2	enteric_neurons	unassigned	2	6
fermt2	lateral_plate_mesoderm	unassigned	0	2
stxbp1a	enteric_neurons	unassigned	2	6
gfi1b	hatching_gland	unassigned	5	4
sdk2b	neural	unassigned	1	1
adam12	hematopoietic_vasculature	unassigned	6	7
nhsl1b	spinal_cord	unassigned	0	0
zgc:100829	fast_muscle	unassigned	0	0
ppfia2	differentiating_neurons	unassigned	0	0
si:ch211-152c2.3	neural_floor_plate	unassigned	8	10
zgc:174855	hatching_gland	unassigned	5	4
magi1b	endocrine_pancreas	unassigned	0	0
rapgef3	muscle	unassigned	4	3
midn	hindbrain	unassigned	0	0
taar20w	PSM	unassigned	3	5
mvb12bb	endoderm	unassigned	3	10
gabra5	hindbrain	unassigned	1	10
adarb2	NMPs	unassigned	0	0
hnf1ba	neurons	unassigned	8	10
tbxta	notochord	unassigned	0	2
sema4ba	endoderm	unassigned	0	2
ebf3a.1	enteric_neurons	unassigned	2	6
raraa	endoderm	unassigned	0	2
ptch2	muscle	unassigned	0	0
diaph3	neural_optic	unassigned	0	0
slit2	notochord	unassigned	0	0
satb2	endoderm	unassigned	3	10
adamtsl3	endoderm	unassigned	0	0
znrf3	midbrain_hindbrain_boundary	unassigned	0	0
pax6a	hindbrain	unassigned	1	1
rfx2	floor_plate	unassigned	0	0
col4a1	somites	unassigned	4	3
CU179699.1	pharyngeal_arches	unassigned	3	10
nkain4	heart_myocardium	unassigned	0	2
gnao1a	enteric_neurons	unassigned	1	1
ece2b	neural_telencephalon	unassigned	0	0
sorbs2b	neural_posterior	unassigned	1	1
plxna4	enteric_neurons	unassigned	2	6
lpar1	tail_bud	unassigned	0	2
arhgap12b	neural_optic	unassigned	1	1
pou3f3a	midbrain_hindbrain_boundary	unassigned	1	1
pawr	hatching_gland	unassigned	5	4
txlnbb	muscle	unassigned	4	3
hoxa13a	NMPs	unassigned	2	8
si:ch211-242b18.1	muscle	unassigned	0	2
bcar3	epidermis	unassigned	0	0
dnm2a	hemangioblasts	unassigned	0	0
si:ch211-266g18.10	muscle	unassigned	4	3
hs3st3b1b	midbrain_hindbrain_boundary	unassigned	1	1
si:dkey-150i13.2	muscle	unassigned	6	7
cacna1ba	enteric_neurons	unassigned	0	2
evx2	NMPs	unassigned	2	6
itga9	somites	unassigned	0	2
si:ch211-285f17.1	notochord	unassigned	0	0
sorbs1	somites	unassigned	3	5
pdgfab	pharyngeal_arches	unassigned	3	5
sema5ba	spinal_cord	unassigned	1	1
flnca	muscle	unassigned	4	3
phyhiplb	differentiating_neurons	unassigned	2	6
znf704	PSM	unassigned	0	0
SH3TC1	hatching_gland	unassigned	5	4
sfrp1a	optic_cup	unassigned	1	1
luzp1	PSM	unassigned	0	2
esyt2b	muscle	unassigned	4	3
rapgef4	notochord	unassigned	5	4
nr2f2	neural_floor_plate	unassigned	1	1
hbae5	hemangioblasts	unassigned	6	7
vwde	somites	unassigned	4	3
CABZ01076996.1	NMPs	unassigned	0	2
si:ch73-386h18.1	neural_posterior	unassigned	1	1
apoeb	epidermis	unassigned	0	2
lrp1ab	PSM	unassigned	0	2
gsc	hematopoietic_vasculature	unassigned	8	10
gbf1	hatching_gland	unassigned	0	0
stk10	hemangioblasts	unassigned	6	7
BRSK2	notochord	unassigned	0	0
myo5c	hatching_gland	unassigned	5	4
trabd2a	midbrain_hindbrain_boundary	unassigned	1	1
si:dkey-35m8.1	neural_posterior	unassigned	1	1
col4a5	neural_posterior	unassigned	0	0
chrnb1	muscle	unassigned	4	3
hivep3b	hatching_gland	unassigned	5	4
hmbsb	hemangioblasts	unassigned	6	7
ca10b	lateral_plate_mesoderm	unassigned	3	5
tiam1a	muscle	unassigned	0	0
vtcn1	hatching_gland	unassigned	5	4
otpa	differentiating_neurons	unassigned	2	6
lama1	lateral_plate_mesoderm	unassigned	0	2
efna2a	midbrain_hindbrain_boundary	unassigned	1	1
dip2ca	hematopoietic_vasculature	unassigned	0	0
sema3ab	somites	unassigned	4	3
ccl34a.4	hindbrain	unassigned	2	8
foxp4	neural_telencephalon	unassigned	1	1
lamc3	pharyngeal_arches	unassigned	3	5
alcama	pharyngeal_arches	unassigned	0	0
zgc:65894	neural	unassigned	2	8
obsl1a	muscle	unassigned	4	3
si:dkey-246i14.3	midbrain_hindbrain_boundary	unassigned	0	0
si:ch211-28p3.4	PSM	unassigned	4	3
adck1	hatching_gland	unassigned	0	0
plxnb1a	hatching_gland	unassigned	0	0
si:ch211-251b21.1	spinal_cord	unassigned	2	8
prickle2b	spinal_cord	unassigned	0	2
hspa1b	hatching_gland	unassigned	5	4
pcdh17	neural_optic	unassigned	1	1
isl1	hatching_gland	unassigned	5	4
stab2	hematopoietic_vasculature	unassigned	6	7
ppp1r13ba	hematopoietic_vasculature	unassigned	3	5
rnf24	notochord	unassigned	0	2
lypd6b	endoderm	unassigned	0	2
lrch2	notochord	unassigned	7	9
arfgap3	hatching_gland	unassigned	5	4
ndst2b	midbrain_hindbrain_boundary	unassigned	1	1
ccdc88c	neural_telencephalon	unassigned	0	0
slit1a	neural	unassigned	0	0
chsy1	optic_cup	unassigned	0	0
gata4	heart_myocardium	unassigned	3	5
aopep	NMPs	unassigned	0	2
col6a1	notochord	unassigned	7	9
drd1a	muscle	left_bottom	9	12
caskin1	notochord	unassigned	7	9
si:dkey-248g15.3	hatching_gland	unassigned	5	4
vgll2b	muscle	unassigned	7	9
ebf2	enteric_neurons	unassigned	2	6
shroom3	endocrine_pancreas	unassigned	1	1
tnni1b	heart_myocardium	unassigned	2	8
ptprua	notochord	unassigned	4	3
hoxd3a	NMPs	unassigned	0	2
rnf41l	muscle	unassigned	4	3
tnn	hematopoietic_vasculature	unassigned	2	6
igsf3	PSM	unassigned	0	0
ahr2	pharyngeal_arches	unassigned	3	5
MAGI3	endoderm	unassigned	0	0
gja5a	hematopoietic_vasculature	unassigned	6	7
foxp1a	hatching_gland	unassigned	0	0
erc1b	heart_myocardium	unassigned	4	3
col1a2	epidermis	unassigned	2	8
lhfpl6	notochord	unassigned	0	2
nck2a	hindbrain	unassigned	0	0
si:dkey-23a13.17	neurons	unassigned	3	5
plxdc2	neurons	unassigned	1	1
rgl1	lateral_plate_mesoderm	unassigned	0	0
sgcd	muscle	unassigned	4	3
dmd	notochord	unassigned	0	0
epb41a	enteric_neurons	unassigned	1	1
atp1a3a	differentiating_neurons	unassigned	2	6
myog	muscle	unassigned	4	3
atp11c	epidermis	unassigned	0	0
noto	notochord	unassigned	7	9
zfhx4	midbrain_hindbrain_boundary	unassigned	1	1
tiam2a	somites	unassigned	0	0
rxrab	tail_bud	unassigned	0	2
adrb3a	hatching_gland	unassigned	5	4
znf536	floor_plate	unassigned	1	1
meis1b	neural_posterior	unassigned	0	0
hmgb2a	neural_telencephalon	unassigned	0	11
CABZ01044099.1	hematopoietic_vasculature	unassigned	0	5
foxl2b	lateral_plate_mesoderm	unassigned	3	5
mt-atp6	fast_muscle	unassigned	0	11
dnajb2	muscle	unassigned	4	3
galnt1	hematopoietic_vasculature	unassigned	0	0
myo10	pharyngeal_arches	unassigned	0	0
tjp1a	hematopoietic_vasculature	unassigned	0	0
net1	PSM	unassigned	0	2
rap1b	hematopoietic_vasculature	unassigned	0	0
tead3b	muscle	unassigned	0	2
MANEAL	enteric_neurons	unassigned	2	6
cdh4	enteric_neurons	unassigned	2	6
aff2	hemangioblasts	unassigned	0	0
cep131	differentiating_neurons	unassigned	1	1
irs2b	enteric_neurons	unassigned	2	6
myo16	differentiating_neurons	unassigned	1	1
si:dkey-178k16.1	enteric_neurons	unassigned	2	6
si:dkeyp-69b9.3	muscle	unassigned	4	3
prickle1b	NMPs	unassigned	0	2
si:ch1073-268j14.1	somites	unassigned	4	3
FP016239.2	neural_telencephalon	unassigned	2	8
rpl7a	PSM	unassigned	0	11
msi2a	notochord	unassigned	0	0
col12a1a	neural_posterior	unassigned	1	1
trpm1b	optic_cup	unassigned	1	1
rbms3	lateral_plate_mesoderm	unassigned	3	5
prom2	NMPs	unassigned	5	4
arap3	PSM	unassigned	0	2
pvalb2	hematopoietic_vasculature	unassigned	2	8
smad6b	epidermis	unassigned	0	0
neo1a	endocrine_pancreas	unassigned	0	0
march8	hindbrain	unassigned	0	0
sh2d3ca	hindbrain	unassigned	1	1
tbx3b	notochord	unassigned	7	9
erbb3a	endocrine_pancreas	unassigned	3	10
afap1l1a	hatching_gland	unassigned	5	4
FP325123.1	floor_plate	right_bottom	3	10
enox2	hatching_gland	unassigned	0	0
adgrg1.1	differentiating_neurons	unassigned	1	1
nfasca	enteric_neurons	unassigned	2	6
alas2	hemangioblasts	unassigned	6	7
pfkpa	hatching_gland	unassigned	5	4
si:ch73-21g5.7	neural_posterior	unassigned	2	8
lft1	neural_telencephalon	unassigned	8	10
IGLON5	differentiating_neurons	unassigned	1	1
hid1b	hatching_gland	unassigned	5	4
grid1a	NMPs	unassigned	0	2
RAPH1	hatching_gland	unassigned	0	0
skib	neural_optic	unassigned	1	1
cfap299	hematopoietic_vasculature	unassigned	0	5
si:ch211-150g13.3	differentiating_neurons	unassigned	2	6
isl2b	enteric_neurons	unassigned	2	6
pik3c2b	differentiating_neurons	unassigned	0	0
ptprub	endocrine_pancreas	unassigned	0	0
emp2	somites	unassigned	4	3
cdh15	muscle	unassigned	4	3
ncam1b	neural_posterior	unassigned	1	1
acsl2	NMPs	unassigned	1	0
acsl1a	pronephros	unassigned	0	0
rpl19	hemangioblasts	unassigned	0	11
cgnl1	neural_posterior	unassigned	0	0
admp	notochord	unassigned	7	9
slc43a2a	PSM	unassigned	2	6
qkib	neural_posterior	unassigned	1	1
susd1	hemangioblasts	unassigned	6	7
gramd4a	hatching_gland	unassigned	5	4
tbx20	heart_myocardium	unassigned	3	5
sgk1	hematopoietic_vasculature	unassigned	0	0
CACNA2D1	differentiating_neurons	unassigned	2	6
glcci1a	hemangioblasts	unassigned	6	7
twist2	notochord	unassigned	7	9
dcc	differentiating_neurons	unassigned	2	6
ncam2	endocrine_pancreas	unassigned	1	1
igdcc3	neural_optic	unassigned	1	1
six4b	fast_muscle	unassigned	0	0
CABZ01071939.1	muscle	unassigned	4	3
march1	hatching_gland	unassigned	5	4
itpk1a	hatching_gland	unassigned	5	4
gfi1aa	hemangioblasts	unassigned	6	7
spink4	hatching_gland	unassigned	5	4
SSBP4	spinal_cord	unassigned	0	0
wu:fc23c09	NMPs	unassigned	7	9
gdf11	NMPs	unassigned	0	0
oc90	spinal_cord	unassigned	1	1
si:ch211-217a12.1	muscle	unassigned	4	3
amph	enteric_neurons	unassigned	2	6
dlg1	enteric_neurons	unassigned	0	0
kcnq5a	somites	unassigned	4	3
im:7152348	enteric_neurons	unassigned	2	6
pcdh15a	hatching_gland	unassigned	5	4
fndc3bb	epidermis	unassigned	0	0
zgc:163057	hemangioblasts	unassigned	6	7
sox8a	hatching_gland	unassigned	5	4
BCR	neural_telencephalon	unassigned	0	0
SORCS3	hatching_gland	unassigned	5	4
nes	enteric_neurons	unassigned	2	6
npdc1a	hatching_gland	unassigned	5	4
pde3a	enteric_neurons	unassigned	2	6
efna5a	optic_cup	unassigned	0	0
abhd6a	differentiating_neurons	unassigned	2	8
msgn1	tail_bud	unassigned	8	2
tpm3	muscle	unassigned	0	0
asap2a	fast_muscle	unassigned	0	2
tmod1	muscle	unassigned	4	3
nbeal2	hatching_gland	unassigned	5	4
samd4a	neural_crest	unassigned	0	5
igsf11	neural	unassigned	1	1
fbln1	tail_bud	unassigned	0	2
macf1a	NMPs	unassigned	0	0
spsb4a	differentiating_neurons	unassigned	0	0
ptprfb	endocrine_pancreas	unassigned	0	0
sept12	hematopoietic_vasculature	unassigned	0	0
shank3b	hematopoietic_vasculature	unassigned	6	7
LO016987.2	tail_bud	unassigned	0	2
col2a1a	endocrine_pancreas	unassigned	3	5
hoxb13a	NMPs	unassigned	2	8
tiparp	endocrine_pancreas	unassigned	0	0
angpt1	pharyngeal_arches	unassigned	3	5
bcl2a	hindbrain	unassigned	1	1
coro2ba	hematopoietic_vasculature	unassigned	6	7
pcxa	muscle	unassigned	0	0
cav3	muscle	unassigned	4	3
tmprss13a	hatching_gland	unassigned	5	4
prrx1a	pharyngeal_arches	unassigned	3	5
ctslb	hatching_gland	unassigned	5	4
fat2	epidermis	unassigned	0	2
foxh1	heart_myocardium	unassigned	3	5
lrrc17	NMPs	unassigned	4	3
kirrel1b	pharyngeal_arches	unassigned	3	5
pleca	endocrine_pancreas	unassigned	3	5
ror2	tail_bud	unassigned	0	2
pcmtd2a	enteric_neurons	unassigned	2	6
nkd1	hindbrain	unassigned	0	0
cacna2d2a	endocrine_pancreas	unassigned	0	0
fam214a	hatching_gland	unassigned	0	0
mcf2la	hatching_gland	unassigned	5	4
si:ch211-112f3.4	differentiating_neurons	unassigned	2	6
plekhh1	neural_posterior	unassigned	0	0
si:ch211-284f22.3	notochord	unassigned	0	0
plch1	hindbrain	unassigned	1	1
plecb	muscle	unassigned	4	3
GALNTL6	tail_bud	unassigned	0	2
boc	neurons	unassigned	0	0
aldoab	muscle	unassigned	4	3
ecscr	hematopoietic_vasculature	unassigned	6	7
rab6ba	enteric_neurons	unassigned	2	6
b4galnt3b	notochord	unassigned	7	9
ctslb.2	hatching_gland	unassigned	5	4
her4.2.1	neural_posterior	unassigned	2	8
CU633479.1	muscle	unassigned	4	3
nid2a	tail_bud	unassigned	0	0
pip5k1ca	notochord	unassigned	7	9
draxin	PSM	unassigned	0	2
crim1	notochord	unassigned	3	5
si:ch211-168f7.5	midbrain_hindbrain_boundary	unassigned	1	1
anks1b	heart_myocardium	unassigned	3	5
zgc:172133	muscle	left_bottom	9	12
pax7a	midbrain_hindbrain_boundary	unassigned	1	1
BX511034.8	hatching_gland	unassigned	5	4
optc	muscle	unassigned	4	3
fmnl2a	lateral_plate_mesoderm	unassigned	3	5
mhc1uma	epidermis	unassigned	5	4
CT583728.27	hatching_gland	unassigned	8	10
ankrd13b	enteric_neurons	unassigned	2	6
camkmt	neural_optic	unassigned	0	0
mfsd6b	notochord	unassigned	7	9
ELAPOR1	hatching_gland	unassigned	5	4
scrt2	enteric_neurons	unassigned	2	6
sgip1a	notochord	unassigned	7	9
il1rapl1a	neural_optic	unassigned	0	0
pcdh1g9	differentiating_neurons	unassigned	2	6
eef1a1l1	somites	unassigned	0	11
ctnnd2b	neural_posterior	unassigned	1	1
si:dkey-102g19.3	notochord	unassigned	2	8
rapgefl1	endocrine_pancreas	unassigned	0	0
mctp1a	muscle	unassigned	0	6
smad7	endoderm	unassigned	0	0
onecut2	enteric_neurons	unassigned	2	6
col18a1a	neurons	unassigned	0	0
si:ch211-157b11.8	endocrine_pancreas	unassigned	3	10
tp63	epidermis	unassigned	0	2
he1.1	hatching_gland	unassigned	5	4
tenm4	neural_posterior	unassigned	1	1
ntrk1	endocrine_pancreas	unassigned	2	6
lft2	neural_telencephalon	unassigned	8	10
cdh5	hematopoietic_vasculature	unassigned	6	7
clcf1	hatching_gland	unassigned	5	4
rassf3	notochord	unassigned	0	2
ryr2b	heart_myocardium	unassigned	3	5
nhsl2	lateral_plate_mesoderm	unassigned	1	1
arhgef19	notochord	unassigned	7	9
zeb2b	hindbrain	unassigned	1	1
ppfibp2a	muscle	unassigned	3	5
tbx1	pharyngeal_arches	unassigned	3	5
havcr1	tail_bud	unassigned	2	8
rin3	hematopoietic_vasculature	unassigned	6	7
igfbp5b	somites	unassigned	4	3
lhx4	differentiating_neurons	unassigned	2	6
hbae3	hemangioblasts	unassigned	6	7
hist1h4l.6	neural_floor_plate	right_bottom	3	10
pappaa	notochord	unassigned	7	9
mfng	hematopoietic_vasculature	unassigned	6	7
BX908804.3	somites	unassigned	5	4
evx1.1	NMPs	unassigned	3	10
fgfr2	pharyngeal_arches	unassigned	1	1
ttll10	hatching_gland	unassigned	5	4
elavl4	enteric_neurons	unassigned	2	6
btbd11a	pharyngeal_arches	unassigned	3	5
agrn	endoderm	unassigned	0	0
ppp2r3a	somites	unassigned	4	3
ltbp1	hatching_gland	unassigned	0	2
coro1ca	hematopoietic_vasculature	unassigned	0	0
sema3aa	endocrine_pancreas	unassigned	0	0
gnb5a	enteric_neurons	unassigned	2	6
atp1a2a	fast_muscle	unassigned	4	3
tox	floor_plate	unassigned	1	1
pip5k1ba	hatching_gland	unassigned	5	4
thrap3a	muscle	unassigned	4	3
ak1	somites	unassigned	2	8
plekhg2	pharyngeal_arches	unassigned	3	5
bahcc1b	neural_telencephalon	unassigned	1	1
rbfox1l	muscle	unassigned	4	3
kif1ab	enteric_neurons	unassigned	2	6
inpp4b	muscle	unassigned	4	3
cbfb	hematopoietic_vasculature	unassigned	0	0
pdlim5b	muscle	unassigned	0	5
he1.2	hatching_gland	unassigned	5	4
